Epoch,Validation Loss,Sparsity
1,0.717392802238,0.998876633987
2,0.391371831298,0.998876633987
3,0.312065199018,0.998876633987
4,0.284445554018,0.998876633987
5,0.279380708933,0.998876633987
6,0.272999584675,0.998876633987
7,0.263098910451,0.998876633987
8,0.255243971944,0.998876633987
9,0.250624865294,0.998876633987
10,0.247747123241,0.998876633987
11,0.244565762579,0.998876633987
12,0.241573221982,0.998876633987
13,0.239183716476,0.998876633987
14,0.236849181354,0.998876633987
15,0.234568953514,0.998876633987
16,0.232399255037,0.998876633987
17,0.230272173882,0.998876633987
18,0.228201508522,0.998876633987
19,0.226190708578,0.998876633987
20,0.224228106439,0.998876633987
21,0.222307011485,0.998876633987
22,0.22042157501,0.998876633987
23,0.218564979732,0.998876633987
24,0.216739654541,0.998876633987
25,0.214930161834,0.998876633987
26,0.213137887418,0.998876633987
27,0.211347281933,0.998876633987
28,0.209567397833,0.998876633987
29,0.207795828581,0.998876633987
30,0.206032425165,0.998876633987
